HomeTeam,AwayTeam,Home_ELO,Home_LP,Home_Points/Played,Home_GD,home_last_match,home_last_3,home_last_5,Away_ELO,Away_LP,Away_Points/Played,Away_GD,away_last_match,away_last_3,away_last_5,B365H,B365D,B365A,FTR
Crystal Palace,Bournemouth,1737,11,1.285714286,-5,3,6,7,1683,12,1.142857143,-2,0,0,3,2.23,3.46,3.36,H
Burnley,Man City,1684,10,1.285714286,0,0,6,8,1995,3,2.071428571,23,1,4,7,11.5,7.11,1.24,A
Chelsea,Aston Villa,1869,4,1.857142857,8,0,3,9,1642,15,1.071428571,-1,1,4,5,1.35,5.63,8.47,H
Leicester,Watford,1821,2,2.285714286,24,3,9,15,1627,20,0.571428571,-19,0,3,4,1.37,5.31,8.55,H
Man United,Tottenham,1795,9,1.285714286,4,1,5,9,1840,5,1.428571429,3,3,7,9,2.59,3.43,2.82,H
Southampton,Norwich,1639,18,0.857142857,-17,3,4,5,1604,19,0.785714286,-15,1,4,6,1.77,3.93,4.6,H
Wolves,West Ham,1745,6,1.428571429,2,1,7,11,1702,13,1.142857143,-6,3,3,5,1.68,3.97,5.28,H
Liverpool,Everton,2044,1,2.857142857,20,3,9,15,1701,17,1,-8,0,3,5,1.63,4.05,5.71,H
Sheffield United,Newcastle,1673,7,1.357142857,4,1,3,9,1698,14,1.142857143,-9,1,4,7,1.79,3.56,5.18,A
Arsenal,Brighton,1813,8,1.357142857,-1,1,2,5,1632,16,1.071428571,-5,0,0,4,1.65,4.3,5.13,A
Everton,Chelsea,1699,18,0.933333333,-11,0,0,4,1871,4,1.933333333,9,3,3,9,3.27,3.78,2.16,H
Bournemouth,Liverpool,1678,14,1.066666667,-3,0,0,1,2046,1,2.866666667,23,3,9,15,6.48,4.63,1.5,A
Tottenham,Burnley,1832,8,1.333333333,2,0,6,8,1679,12,1.2,-3,0,3,7,1.43,4.87,7.63,H
Watford,Crystal Palace,1623,20,0.533333333,-21,0,0,3,1743,7,1.4,-4,3,6,10,2.47,3.34,3.04,D
Man City,Man United,2000,3,2.133333333,26,3,7,13,1803,6,1.4,5,3,5,11,1.33,5.85,9.1,A
Aston Villa,Leicester,1640,16,1,-2,0,4,5,1825,2,2.333333333,26,3,9,15,4.9,4.21,1.69,A
Newcastle,Southampton,1711,11,1.266666667,-7,3,4,8,1645,17,1,-16,3,7,7,2.6,3.33,2.84,H
Norwich,Sheffield United,1598,19,0.733333333,-16,0,4,5,1660,9,1.266666667,2,0,2,6,3.16,3.51,2.3,A
Brighton,Wolves,1646,13,1.2,-4,3,3,3,1753,5,1.533333333,4,3,7,11,2.62,3.2,2.94,D
West Ham,Arsenal,1695,15,1.066666667,-8,0,3,4,1800,10,1.266666667,-2,0,2,3,3.64,4.2,1.93,A